자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,,
who is the current president of dominican republic 2011?,who is the <DATE> president of <LOCATION> <DATE>?,X,,,,,
what money system does greece use?,what money system does <LOCATION> use?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,,,,
who played obi wan kenobi in phantom menace?,who played <MISC> in phantom menace?,X,,,,,
what is the newspaper in phoenix?,what is the newspaper in <LOCATION>?,X,,,,,
where is luke bryan from?,where is <PERSON> from?,O,match (p:Human)-[r:PLACE_OF_BIRTH]-(u)-[:COUNTRY]->(v) where p.name=<PERSON>  return v.name,,,,
who invented facebook wikipedia?,who invented <ORGANIZATION>?,X,,,,,
what country surrounds spain?,what country surrounds <LOCATION>?,X,,,,,
when and where was william shakespeare buried?,when and where was <PERSON> buried?,O,"match (p:Human)-[:PLACE_OF_BURIAL]-(u) where p.name=<PERSON> return u.name
 match (p:Human)-[:DATE_OF_DEATH]-(u) where p.name=<PERSON> return u.name",,,,
what type of tennis racket does john mcenroe use?,what type of tennis racket does <PERSON> use?,X,,,,,
where did captain james cook grow up?,where did captain <PERSON> grow up?,X,,,,,
where is sony headquarters located?,where is <ORGANIZATION> headquarters located?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<ORGANIZATION> return u.name,,,,
who wore the darth vader suit in revenge of the sith?,who wore the <MISC> vader suit in revenge of the sith?,X,,,,,
what movies has scarlett johansson in?,what movies has <PERSON> in?,O,match(p:Human)<-[r:CAST_MEMBER]-(u) where p.name=<PERSON> return u.name,,,,
where is alex rodriguez from?,where is <PERSON> from?,O,match (p:Human)-[r:PLACE_OF_BIRTH]-(u)-[:COUNTRY]->(v) where p.name=<PERSON>  return v.name,,,,
what school did michael jordan play for?,what school did <PERSON> play for?,X,,,,,
who invented morse code?,who invented <PERSON> code?,X,,,,,
what happened to adolf hitler at the end of the war?,what happened to <PERSON> at the end of the war?,X,,,,,
what is the political system in england?,what is the political system in <LOCATION>?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
who was vice president under ronald reagan?,who was vice president under <PERSON>?,X,,,,,
what does rupert murdoch own 2012?,what does <PERSON> own <DATE>?,X,,,,,
where did william howard taft go to high school?,where did <PERSON> go to high school?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
when did the chicago bulls win their first championship?,when did the <ORGANIZATION> win their <ORDINAL> championship?,X,,,,,
which four states touch mexico?,which <NUMBER> states touch <LOCATION>?,X,,,,,
what did sammy davis jr die of?,what did <PERSON> die of?,X,,,,,
what did anna nicole smith died from?,what did <PERSON> died from?,X,,,,,
what country did francis drake explored for?,what country did <PERSON> explored for?,X,,,,,
what two countries share a border with the great lakes?,what <NUMBER> countries share a border with the <LOCATION>?,x,two countries 는 모호한 entity,,,,
what year did dwayne wade came to the nba?,what <DURATION> did <PERSON> came to the nba?,x,nba 에 관한 내용,,,,
where is the dan patrick studio?,where is the <PERSON> studio?,x,관련 없는 내용,,,,
where did jackie kennedy go to college?,where did <PERSON> go to college?,x,match (m:Human)-[c:EDUCATED_AT]-(n) where m.name=<PERSON>  return n.name,,,,
what do italy people eat for breakfast?,what do <LOCATION> people eat for breakfast?,x,관련 없는 내용,,,,
what religion does tom cruise follow?,what religion does <PERSON> follow?,o,match (c)-[:RELIGION]-(r) where c.name=<PERSON> return r.name,,,,
what is the president of france's name?,what is the president of <LOCATION>'s name?,O,match (c)-[:HEAD_OF_GOVERNMENT]-(h) where c.name=<LOCATION> return h.name,,,,
what language do lakota indians speak?,what language do <MISC> speak?,o,match (m)-[c:OFFICIAL_LANGUAGE]-(n) where m.name=<LOCATION> return n.name,,,,
what is the money called in spain?,what is the money called in <LOCATION>?,o,match (m:Country)-[c:CURRENCY]-(n) where m.name=<LOCATION> return n.name,,,,
where is the great pyramid of giza situated?,where is the <MISC> situated?,O,match (m)-[:LOCATION]-(loc) where m.name=<MISC> return loc.name,,,,
where is john deere made?,where is <MISC> made?,x,관련 없는 내용,,,,
what money is used in the ukraine?,what money is used in the <LOCATION>?,O,match (m:Country)-[c:CURRENCY]-(n) where m.name=<LOCATION> return n.name,,,,
where did ayn rand live?,where did <PERSON> live?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,,,,
when was the civil war in libya?,when was the civil war in <LOCATION>?,x,관련 없는 내용,,,,
where are the headquarters of the united nations organization found?,where are the headquarters of the <ORGANIZATION> found?,x,관련 없는 내용,,,,
what did charles lindbergh became famous for in the 1920s?,what did <PERSON> became famous for in <DATE>?,x,relation 이 모호,,,,
what influenced roy lichtenstein artwork?,what influenced <PERSON> artwork?,x,관련 없는 내용,,,,
what state did romney governor?,what state did <PERSON> governor?,x,관련 없는 내용,,,,
which countries border lake victoria?,which countries border <LOCATION>?,x,관련 없는 내용,,,,
what movies does ryan gosling star in?,what movies does <PERSON> star in?,x,영화 제목에 관한 내용이 없음 ,,,,
where is kentucky located?,where is <LOCATION> located?,x,관련 없는 내용,,,,
where john tyler was born?,where <PERSON> was born?,o,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,,,,
where the english came from?,where the <MISC> came from?,x,relation 이 모호,,,,
what place did thomas jefferson died?,what place did <PERSON> died?,o,match (m:Human)-[c:PLACE_OF_DEATH]-(n) where m.name=<PERSON>  return n.name,,,,
when is next t20 world cup cricket?,when is <DATE> <MISC> cricket?,x,관련 없는 내용,,,,
what is the time zone in france?,what is the time zone in <LOCATION>?,o,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,,,,
what kind of economy was the soviet union?,what kind of economy was the <LOCATION>?,x,관련 없는 내용,,,,
what county is lancaster ca located in?,what county is <LOCATION> located in?,o,match (m)-[:CAPTIAL]-(n) where m.name=<LOCATION> return n.name,,,,
who is steve nash married to?,who is <PERSON> married to?,o,match (m:Human)-[c:SPOUSE]-(n) where m.name=<PERSON>  return n.name,,,,
where is compaq laptops made?,where is <ORGANIZATION> laptops made?,x,관련 없는 내용,,,,
what is the name of the bengals quarterback?,what is the name of the <ORGANIZATION> quarterback?,x,관련 없는 내용,,,,
what job does janelle brown have?,what job does <PERSON> have?,o,match (m:Human)-[c:OCCUPATION]-(n) where m.name=<PERSON>  return n.name,,,,
what do michelle obama do for a living?,what do <PERSON> do for a living?,o,match (m:Human)-[c:OCCUPATION]-(n) where m.name=<PERSON>  return n.name,,,,
who was the founder of rhode island?,who was the founder of <LOCATION>?,x,관련 없는 내용,,,,
who was dr seuss?,who was dr <PERSON>?,x,관련 없는 내용,,,,
who does paul wesley play in 24?,who does <PERSON> play in <NUMBER>?,x,관련 없는 내용,,,,
what continent is australia in?,what continent is <LOCATION> in?,x,관련 없는 내용,,,,
what is roshon fegan's heritage?,what is <PERSON>'s heritage?,x,관련 없는 내용,,,,
where is spanish springs nv?,where is <MISC> <DATE> nv?,x,관련 없는 내용,,,,
what club does ronaldinho play for 2012?,what club does <LOCATION> play for <DATE>?,x,관련 없는 내용,,,,
what is the name of the sacred text of islam?,what is the name of the sacred text of islam?,x,관련 없는 내용,,,,
where did richard nixon go to high school?,where did <PERSON> go to high school?,o,match (m:Human)-[c:EDUCATED_AT]-(n) where m.name=<PERSON> return n.name,,,,
who stars in the movie fred claus?,who stars in the movie <MOVIE>?,x,관련 없는 내용,,,,
who won the 2012 snooker masters?,who won the <DATE> snooker masters?,x,관련없는 내용,,,,
where did madoff live?,where did <PERSON> live?,x,관련없는 내용,,,,
what killed sammy davis jr?,what killed <PERSON>?,x,관련 없는 내용,,,,
where to hang out in chicago?,where to hang out in <LOCATION>?,x,관련 없는 내용,,,,
what are the best things to do in san diego?,what are the best things to do in <LOCATION>?,x,관련 없는 내용,,,,
what currency do you use in costa rica?,what currency do you use in <LOCATION>?,o,match (m)-[c:CURRENCY]-(n) where m.name=<LOCATION> return n.name,,,,
who are the senators of kansas 2013?,who are the senators of <LOCATION> <DATE>?,x,관련없는 내용,,,,
what influenced jackson pollock's work?,what influenced <PERSON>'s work?,x,관련없는 내용,,,,
what state was john adams elected from?,what state was <PERSON> elected from?,x,관련없는 내용,,,,
who played young sam winchester?,who played young <PERSON>?,x,관련 없는 내용,,,,
what is the official language of the ukraine?,what is the official language of the <LOCATION>?,x,관련없는 내용,,,,
who won 2001 fa cup?,who won <DATE> <MISC>?,x,관련없는 내용,,,,
what songs did duane allman sing?,what songs did <PERSON> sing?,o,match (m)-[:PERFORMER]-(n) where m.name=<PERSON>  return n.name,,,,
who played darth vader in the original star wars movies?,who played <MISC> vader in the original star wars movies?,x,관련없는 내용,,,,
when do we change the clocks in 2011 in australia?,when do we change the clocks in <DATE> in <LOCATION>?,x,관련없는 내용,,,,
what team did joe hart play for before man city?,what team did <PERSON> play for before man city?,x,관련없는 내용,,,,
who did scarlett johansson married?,who did <PERSON> married?,o,match (m:Human)-[c:SPOUSE]-(n) where m.name=<PERSON>  return n.name,,,,
what team did doug williams play for?,what team did <PERSON> play for?,x,관련 없는 내용,,,,
what are the different sports in the philippines?,what are the different sports in the <LOCATION>?,x,관련 없는 내용,,,,
who won the presidential race in venezuela?,who won the presidential race in <LOCATION>?,x,관련 없는 내용,,,,
where did willy wonka take place?,where did <PERSON> take place?,x,관련 없는 내용,,,,
what degree did martin luther king get?,what degree did <PERSON> get?,o,match (m:Human)-[c:ACADEMIC_DEGREE]-(n) where m.name=<PERSON>  return n.name,,,,
what type of music did vivaldi write?,what type of music did <PERSON> write?,o,match (m)-[:GENRE]-(n) where m.name=<PERSON>  return n.name,,,,
what books has elie wiesel written?,what books has <PERSON> written?,x,관련 없는 내용,,,,
when did the boston celtics win their first championship?,when did the <ORGANIZATION> win their <ORDINAL> championship?,x,관련 없는 내용,,,,
who is cameron crowe?,who is <PERSON>?,o,match (m) where m.name=<PERSON> return m.descEn,,,,
what is the national anthem of russia?,what is the national anthem of <LOCATION>?,x,관련 없는 내용,,,,
what college did lee corso attend?,what college did <PERSON> attend?,o,match (m:Human)-[c:EDUCATED_AT]-(n) where m.name=<PERSON>  return n.name,,,,
what films did liam neeson star in?,what films did <PERSON> star in?,x,관련 없는 내용,,,,
what are all the countries in nato?,what are all the countries in <ORGANIZATION>?,x,관련 없는 내용,,,,
what does tim gunn do for a living?,what does <PERSON> do for a living?,o,match (m:Human)-[c:OCCUPATION]-(n) where m.name=<PERSON>  return n.name,,,,
what was eli whitney job?,what was <PERSON> job?,o,match (m:Human)-[c:OCCUPATION]-(n) where m.name=<PERSON>  return n.name,,,,
what city are the swiss alps in?,what city are the <LOCATION> in?,o,match (m)-[:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(n) where m.name=<LOCATION>  return n.name,,,,
what political party was adolf hitler from?,what political party was <PERSON> from?,x,관련 없는 내용,,,,
who did hermione granger marry?,who did <PERSON> marry?,o,match (m:Human)-[c:SPOUSE]-(n) where m.name=<PERSON>  return n.name,,,,
who was the first jedi master?,who was the <ORDINAL> <MISC> master?,x,관련 없는 내용,,,,
what areas did henry hudson discover?,what areas did <PERSON> discover?,x,관련 없는 내용,,,,
what does taiwan people speak?,what does <LOCATION> people speak?,x,관련 없는 내용,,,,
what made angela davis famous?,what made <PERSON> famous?,x,relation 없음,,,,
what state is george washington university located in?,what state is <ORGANIZATION> located in?,x,match (m)-[:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(n) where m.name=<LOCATION>  return n.name,,,,
what is the state bird and flower of michigan?,what is the state bird and flower of <LOCATION>?,x,관련 없는 내용,,,,
what is al in arabic names?,what is al in <MISC>?,x,관련 없는 내용,,,,
where was governor cuomo born?,where was governor <PERSON> born?,x,관련 없는 내용,,,,
who are the judges of the supreme court?,who are the judges of the <ORGANIZATION>?,x,관련 없는 내용,,,,
who is the president of brazil now?,who is the president of <LOCATION> <DATE>?,x,관련 없는 내용,,,,
what years have the ravens won the super bowl?,what <DURATION> have the <ORGANIZATION> won the super bowl?,x,관련 없는 내용,,,,
what money to take to sri lanka?,what money to take to <LOCATION>?,x,관련 없는 내용,,,,
what year did the mets win their first world series?,what <DURATION> did the <ORGANIZATION> win their <ORDINAL> world series?,x,관련 없는 내용,,,,
who was leonardo da vinci teacher?,who was <PERSON> teacher?,x,관련 없는 내용,,,,
where did newt gingrich attend college?,where did <PERSON> attend college?,o,match (m:Human)-[c:EDUCATED_AT]-(n) where m.name=<PERSON>  return n.name,,,,
where did thomas jefferson died?,where did <PERSON> died?,o,match (m:Human)-[c:PLACE_OF_DEATH]-(n) where m.name=<PERSON>  return n.name,,,,
what football teams did emmitt smith play for?,what football teams did <PERSON> play for?,x,관련 없는 내용,,,,
where did joe namath attend college?,where did <PERSON> attend college?,o,match (m:Human)-[c:EDUCATED_AT]-(n) where m.name=<PERSON> return n.name,,,,
what city is purdue university located?,what city is <ORGANIZATION> located?,x,관련 없는 내용,,,,
what language does people in thailand speak?,what language does people in <LOCATION> speak?,x,관련 없는 내용,,,,
where is ibrahim chatta from?,where is <PERSON> from?,o,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,,,,
